"OTU","Kingdom","Phylum","Class","Order","Family","Genus","Species","BF14_2dpf_L","BF14_2dpf_W","BF14_4dpf_L","BF14_4dpf_W","BF14_6dpf_L","BF14_6dpf_W","BF18_2dpf_L","BF18_2dpf_W","BF18_4dpf_L","BF18_4dpf_W","BF18_6dpf_L","BF18_6dpf_W","BHS18_2dpf_L","BS14_2dpf_L","BS14_4dpf_L","BS14_4dpf_W","BS14_6dpf_W","BS18_2dpf_W","BS18_4dpf_L","BS18_4dpf_W","BS18_6dpf_L","BTS14_2dpf_W","HF14_2dpf_L","HF14_2dpf_W","HF14_4dpf_L","HF14_4dpf_W","HF14_6dpf_L","HF14_6dpf_W","HF18_2dpf_L","HF18_2dpf_W","HF18_4dpf_L","HF18_4dpf_W","HF18_6dpf_L","HF18_6dpf_W","HS14_2dpf_L","HS14_2dpf_W","HS14_4dpf_L","HS14_4dpf_W","HS14_6dpf_L","HS14_6dpf_W","HS18_2dpf_W","HS18_4dpf_L","HS18_4dpf_W","HS18_6dpf_L","HS18_6dpf_W","TF14_2dpf_L","TF14_2dpf_W","TF14_4dpf_L","TF14_4dpf_W","TF14_6dpf_L","TF14_6dpf_W","TF18_2dpf_L","TF18_2dpf_W","TF18_4dpf_L","TF18_4dpf_W","TF18_6dpf_L","TF18_6dpf_W","TS14_4dpf_L","TS14_4dpf_W","TS14_6dpf_L","TS14_6dpf_W","TS18_2dpf_L","TS18_2dpf_W","TS18_4dpf_L","TS18_4dpf_W","TS18_6dpf_L","TS18_6dpf_W"
"4699146c2da6b0b95de7dabe5bf60548","d__Bacteria","Proteobacteria","Alphaproteobacteria","NRL2","NRL2","NRL2",NA,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19263829322cc361777ae35e30393a6e","d__Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_Incertae_Sedis","Anderseniella",NA,0,0,15,0,22,0,13,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,14,1,1,0,0,0,59,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"603e4507094d839a127efdcbdb9b85a8","d__Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Magnetospiraceae","Magnetospira",NA,0,1,0,9,3,3,4,6,0,0,0,4,0,0,13,11,8,11,0,8,0,16,10,1,2,0,0,0,3,0,0,0,2,0,0,13,2,8,0,15,13,1,11,0,0,3,0,0,2,0,0,0,0,0,0,1,0,0,8,0,3,0,1,0,0,0,0
"7c397b98c638d570f22be37581b63a9f","d__Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Oceanicaulis",NA,0,0,10,20,8,5,6,4,0,75,22,109,2,0,272,169,979,4,149,149,89,0,1,3,2,10,10,16,0,4,15,28,5,47,0,0,71,5,136,1748,1,49,151,44,595,0,2,2,21,10,26,0,7,5,5,12,18,93,76,297,500,0,7,27,76,70,349
"85073502bae6ce878df75b01c8779aa6","d__Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Maricaulis",NA,7,13,5,181,0,381,16,46,0,394,32,1037,0,0,4,17,92,19,88,300,54,6,0,0,0,7,1,78,6,37,0,107,22,317,0,1,0,0,4,169,3,0,105,24,722,14,36,0,210,13,309,4,67,2,122,48,179,5,18,110,373,0,3,14,34,0,345
"09eb54f1448ef7e8d17aa2966136aeaf","d__Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Hyphobacterium",NA,5,0,4,7,2,0,0,0,0,0,0,6,0,0,53,0,12,0,0,9,39,0,0,0,0,0,0,0,0,0,2,5,3,3,0,0,4,0,0,14,0,17,5,12,8,0,0,0,4,0,0,0,0,0,0,0,0,34,2,0,15,0,0,0,3,13,4
"9fb0137e61e5463931844e000645cb37","d__Bacteria","Proteobacteria","Alphaproteobacteria","Kordiimonadales","uncultured","uncultured",NA,0,0,3,0,4,0,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,3,0,2,3,8,11,3,0,2,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,3,5,0,6,6,0,0,0,1,0,0,0,0,0,0
"6291b755588b4fa47635a4a4de0431e0","d__Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Algimonas",NA,0,0,0,4,0,6,0,0,0,0,0,7,0,0,11,10,5,0,20,5,44,0,0,0,3,4,0,3,0,0,0,2,0,3,0,0,4,0,9,12,0,7,0,26,2,0,0,0,0,0,2,0,0,0,0,0,0,16,5,35,16,0,0,1,1,5,0
"3983546ce1f6f66d99cdf49506831345","d__Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Litorimonas",NA,4,8,4,4,15,7,1,2,12,2,3,11,0,0,0,0,0,0,0,0,0,0,3,7,7,0,4,75,11,3,2,15,7,43,0,2,0,0,0,0,2,0,4,5,0,0,7,1,0,0,36,4,7,0,2,2,11,0,0,0,0,0,0,0,0,0,0
"2a565e5478d0f037ea72cc37ec5b266d","d__Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Hellea",NA,13,2,4,0,11,15,7,5,12,2,16,6,0,0,0,0,0,0,0,0,0,0,2,3,9,7,3,35,21,4,3,7,10,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,10,9,6,3,10,5,19,5,0,0,0,0,0,0,0,0,0,0
